region_macro;region;city;fias;employer;position_type;salary_min;salary_max;salary_type;vacancy_source
Ярославская область;Ярославская обл;г Переславль-Залесский;f147ed70-422e-40d0-9088-810f7b57ed59;ДИКСИ, группа компаний;Продавец-кассир;23000;35000;gross;hh
Калининградская область;Калининградская обл;г Калининград;df679694-d505-4dd3-b514-4ba48c8a97d8;АГЕНТТОРГ;Продавец-кассир;21000;22000;net;hh
Московская область;Московская обл;г Раменское;a54506e0-5641-4d8c-b543-7bcce2c9887f;ВЕРНЫЙ, Сеть магазинов;Продавец-кассир;27000;30000;gross;hh
Московская область;Московская обл;г Домодедово;d177d438-ea69-4169-854c-d4512d7c8ebe;ВЕРНЫЙ, Сеть магазинов;Продавец-кассир;30000;35000;gross;hh
Московская область;Московская обл;г Подольск;b22cf685-e391-42c8-aab5-a9aadb9193d4;ВЕРНЫЙ, Сеть магазинов;Продавец-кассир;28000;33000;gross;hh
Кировская область;Кировская обл;г Киров;452a2ddf-88a1-4e35-8d8d-8635493768d4;Красное & Белое, розничная сеть;Продавец-кассир;28000;34000;net;hh
Челябинская область;Челябинская обл;г Челябинск;a376e68d-724a-4472-be7c-891bdb09ae32;СПАР Урал;Продавец-кассир;20000;30000;net;hh
Липецкая область;Липецкая обл;г Липецк;eacb5f15-1a2e-432e-904a-ca56bd635f1b;Осипов Е.И.;Продавец-кассир;25000;40000;net;hh
Новосибирская область;Новосибирская обл;г Новосибирск;8dea00e3-9aab-4d8e-887c-ef2aaa546456;Сеть магазинов Постелька;Продавец-кассир;33000;45000;gross;hh
Санкт-Петербург;г Санкт-Петербург;г Санкт-Петербург;c2deb16a-0330-4f05-821f-1d09c93331e6;Комус;Продавец-кассир;28000;36000;gross;hh
Кемеровская область;Кемеровская область - Кузбасс;г Кемерово;94bb19a3-c1fa-410b-8651-ac1bf7c050cd;Хлебница;Продавец-кассир;30000;35000;net;hh
Удмуртская Республика;Удмуртская Респ;г Ижевск;deb1d05a-71ce-40d1-b726-6ba85d70d58f;Хлебница;Продавец-кассир;22000;40000;net;hh
Московская область;Московская обл;г Домодедово;d177d438-ea69-4169-854c-d4512d7c8ebe;ВЕРНЫЙ, Сеть магазинов;Продавец-кассир;30000;39000;gross;hh
Новосибирская область;Новосибирская обл;г Новосибирск;8dea00e3-9aab-4d8e-887c-ef2aaa546456;Суши WOK;Продавец-кассир;27000;32000;net;hh
Новосибирская область;Новосибирская обл;г Новосибирск;8dea00e3-9aab-4d8e-887c-ef2aaa546456;ФинСиб;Продавец-кассир;24000;30000;net;hh
Тверская область;Тверская обл;г Удомля;5bbf246a-6ff4-4050-9ea6-6d0b0a746651;Градусы всего мира;Продавец-кассир;32500;32500;gross;hh
Санкт-Петербург;г Санкт-Петербург;г Санкт-Петербург;c2deb16a-0330-4f05-821f-1d09c93331e6;Теремок - Русские Блины, Санкт-Петербург;Продавец-кассир;40000;50000;gross;hh
Краснодарский край;Краснодарский край;г Сочи;79da737a-603b-4c19-9b54-9114c96fb912;Сочи-Парк;Продавец-кассир;22000;27500;gross;hh
Иркутская область;Иркутская обл;г Ангарск;82b6b7c8-82a4-44b2-8bc7-691373706b89;Детский Мир;Продавец-кассир;25000;27000;gross;hh
Свердловская область;Свердловская обл;г Екатеринбург;2763c110-cb8b-416a-9dac-ad28a55b4402;Хлебница;Продавец-кассир;28000;35000;net;hh
Челябинская область;Челябинская обл;г Челябинск;a376e68d-724a-4472-be7c-891bdb09ae32;Агрофирма АРИАНТ;Продавец-кассир;18000;25000;net;hh
Московская область;Московская обл;г Пушкино;7f22cfa4-34fa-4fa0-bcb0-620cd8402cfa;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Московская область;Московская обл;г Пушкино;7f22cfa4-34fa-4fa0-bcb0-620cd8402cfa;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Московская область;Московская обл;г Сергиев Посад;7baaac39-aa31-4712-893d-51ef80124a86;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Московская область;Московская обл;г Сергиев Посад;7baaac39-aa31-4712-893d-51ef80124a86;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Челябинская область;Челябинская обл;г Миасс;f2976e80-32e1-4284-8eda-06cf19239cd1;Агрофирма АРИАНТ;Продавец-кассир;16000;20000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;ЗМ Москва;Продавец-кассир;45000;62000;net;hh
Костромская область;Костромская обл;г Кострома;14c73394-b886-40a9-9e5c-547cfd4d6aad;ДИКСИ, группа компаний;Продавец-кассир;20000;30000;gross;hh
Московская область;Московская обл;г Сергиев Посад;cdce55dd-eda9-4376-8116-928f30f54341;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Московская область;Московская обл;г Мытищи;5f290be7-14ff-4ccd-8bc8-2871a9ca9d5f;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Московская область;Московская обл;г Пушкино;78684227-0a14-4065-9618-e9f50b6b60b0;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;net;hh
Кировская область;Московская обл;г Сергиев Посад;828e09dd-49d9-4c3b-8910-d1b69da88783;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;net;hh
Московская область;Московская обл;г Красноармейск;bc5d23ce-e886-4dc7-976c-6b8be6d501d2;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Санкт-Петербург;г Санкт-Петербург;г Санкт-Петербург;c2deb16a-0330-4f05-821f-1d09c93331e6;Суши WOK;Продавец-кассир;26400;39000;net;hh
Московская область;Московская обл;г Королёв;819d6910-b4d1-474f-ad10-c1fa944dfca4;Военторг - Ритейл;Продавец-кассир;28500;34000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;FIX PRICE;Продавец-кассир;32000;35000;net;hh
Московская область;Московская обл;г Сергиев Посад;7baaac39-aa31-4712-893d-51ef80124a86;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Московская область;Московская обл;г Ивантеевка;e12cf909-779a-4352-af51-7a2a07668f60;ДИКСИ, группа компаний;Продавец-кассир;26000;35000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;FIX PRICE;Продавец-кассир;32000;35000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;FIX PRICE;Продавец-кассир;32000;35000;net;hh
Московская область;Брянская обл;Новая Москва п;dd192381-0f19-4809-93b5-ec13e76c9da5;Глобус, Сеть гипермаркетов;Продавец-кассир;36475;41950;gross;hh
Московская область;Московская обл;г Сергиев Посад;7baaac39-aa31-4712-893d-51ef80124a86;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;FIX PRICE;Продавец-кассир;33000;35000;net;hh
Республика Крым;г Севастополь;г Севастополь;6fdecb78-893a-4e3f-a5ba-aa062459463b;Иванова Татьяна Борисовна;Продавец-кассир;25000;35000;net;hh
Сахалинская область;Сахалинская обл;г Южно-Сахалинск;44388ad0-06aa-49b0-bbf9-1704629d1d68;Деловые люди;Продавец-кассир;35000;70000;net;hh
Республика Крым;Респ Крым;г Симферополь;b9001e55-72ed-43bf-b7eb-41b86a14380e;МагазинЧИК;Продавец-кассир;25000;35000;net;hh
Тульская область;Тульская обл;г Тула;b2601b18-6da2-4789-9fbe-800dde06a2bb;СВШ;Продавец-кассир;27000;35000;net;hh
Московская область;Московская обл;г Раменское;bd749907-a459-4c82-b53a-73b83783c7c5;ВЕРНЫЙ, Сеть магазинов;Продавец-кассир;27000;30000;gross;hh
Московская область;Московская обл;г Видное;a13661f1-825d-46a8-b6cd-8916be6e93c0;ВЕРНЫЙ, Сеть магазинов;Продавец-кассир;28000;34000;gross;hh
Приморский край;Приморский край;г Владивосток;7b6de6a5-86d0-4735-b11a-499081111af8;Домовид сеть магазинов домашнего уюта;Продавец-кассир;30000;35000;net;hh
Томская область;Томская обл;г Томск;e3b0eae8-a4ce-4779-ae04-5c0797de66be;Иванов Игорь Николаевич;Продавец-кассир;22000;35000;net;hh
Челябинская область;Челябинская обл;г Магнитогорск;988157bf-d6d5-4c2a-80ec-4ad531eea056;Агрофирма АРИАНТ;Продавец-кассир;16000;20000;net;hh
Калужская область;Калужская обл;г Обнинск;05a647ff-b859-4c93-8c8e-3590110a0085;Хлебокомбинат г. Обнинск;Продавец-кассир;23000;35000;gross;hh
Московская область;Московская обл;г Пересвет;ea80b93f-7a37-455e-a42c-33f13ab8bc06;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Московская область;Московская обл;г Сергиев Посад;7baaac39-aa31-4712-893d-51ef80124a86;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Московская область;Московская обл;г Мытищи;fb79b85b-549d-4f91-8f28-dd009d36889d;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Тамбовская область;Тамбовская обл;г Тамбов;ea2a1270-1e19-4224-b1a0-4228b9de3c7a;FIX PRICE;Продавец-кассир;21700;23000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Кулинарная лавка братьев Караваевых;Продавец-кассир;35000;60000;net;hh
